EMPLEADO_ID;NOMBRE_EMPLEADO;APELLIDO_EMPLEADO;FECHA_NAC;GENERO;EMAIL
1;ERNESTO;BONUCCI;1991-12-11;MASCULINO;ERNESTO@MAIL.COM
2;PAULO;PARRA;1992-08-07;MASCULINO;PAULO@MAIL.COM
3;ANDREA;BASCUR;1985-12-20;FEMENINO;ANDREA@MAIL.COM
4;NATALY;TORRES;1995-03-12;FEMENINO;NATALY@MAIL.COM
5;MARTINA;QUIROGA;1988-12-24;FEMENINO;MARTINA@MAIL.COM
6;CAMILO;GONZALEZ;1993-11-10;MASCULINO;CAMILO@MAIL.COM
7;KAREN;ARAYA;1988-04-06;FEMENINO;KAREN@MAIL.COM
8;SEBASTIAN;TORRES;1989-07-13;MASCULINO;SEBASTIAN@MAIL.COM
9;CESAR;HIDALGO;1990-09-24;MASCULINO;CESAR@MAIL.COM
10;VALENTIN;MOSQUERA;1991-11-24;MASCULINO;VALENTIN@MAIL.COM
11;CLAUDIO;OPAZO;1990-08-08;MASCULINO;CLAUDIO@MAIL.COM
12;ANDRES;INIESTA;1991-04-03;MASCULINO;ANDRES@MAIL.COM
13;JAVIER;MASCHERANO;1987-02-17;MASCULINO;JAVIER@MAIL.COM
14;MARCELO;SALAS;1990-11-11;MASCULINO;MARCELO@MAIL.COM
15;ALEXIS;VIDAL;1993-05-12;MASCULINO;ALEXIS@MAIL.COM
